	course_code	course_title	offering_unit
273	Arch 17	History, Theory and Criticism II: Philippine Architecture	Arch
274	Arch 18	History, Theory and Criticism III: Architecture of Asia and the Pacific	Arch
275	Arch 19	History, Theory and Criticism IV: World Architecture	Arch
276	Arch 20	Architectural Design II:  Design and Intra-personal Spaces	Arch
277	Arch 21	Architectural Design III: Design and Inter-personal Spaces	Arch
278	Arch 22	Architectural Design IV: Design and Social Space	Arch
279	Arch 23	Building Construction I: Materials of Building Technology	Arch
280	Arch 24	Building Construction II: Simple Frame Construction	Arch
281	Arch 28	Architectural Structures III: Statics and Strength of Materials for Buildings	Arch
282	Arch 31	Architectural Design V: Site Context and Architecture	Arch
283	Arch 32	Architectural Design VI: Architecture, Technology and the Environment	Arch
284	Arch 33	Building Construction III: Heavy Frame Construction	Arch
285	Arch 35	Utilities I: Plumbing and Sanitary Services in Buildings	Arch
286	Arch 55	Design with Nature: Tropical Design	Arch
287	Arch 57	Practice and Governance I: Building Laws	Arch
288	Arch 60	Planning and Urban Design I: Site Planning and Landscape Architecture	Arch
289	Arch 75	Architectural Research: Basic Research Methods in Architecture	Arch
290	Arch 105	Architectural Communication VII: Theory of Color	Arch
291	Arch 128	Architectural Structures VI: Laboratory in Architectural Structures	Arch
292	Arch 134	Building Construction IV: Building Systems and Technology	Arch
293	Arch 136	Utilities II: Mechanical and Electrical Systems of Buildings	Arch
294	Arch 140	Utilities VI: Utilities for Building Interiors	Arch
295	Arch 141	Architectural Design VII: Integrative Design Project I	Arch
296	Arch 142	Architectural Design VIII: Integrative Design Project II	Arch
297	Arch 143	Utilities III: Architectural Lighting	Arch, Arch
298	Arch 144	Architectural Communication VIII: Color Dynamics	Arch
299	Arch 147	Utilities IV: Architectural Acoustics	Arch
300	Arch 148	Utilities VII: Environmental Lighting	Arch
301	Arch 149	Utilities VIII: Environmental Acoustics	Arch
302	Arch 153	Architectural Design X: Architectural Manufacturing	Arch
303	Arch 156	Architectural Design XI: Evaluation of Architectural Design	Arch
304	Arch 158	Practice and Governance II: Professional Services of the Architect	Arch
305	Arch 159	Practice and Governance III: Finance, Taxation, Civics and Land Reform for Architects	Arch
306	Arch 161	Planning and Urban Design II: Fundamentals of Urban Design and Community Architecture	Arch
307	Arch 162	Planning and Urban Design III: Introduction to Urban and Regional Planning	Arch
308	Arch 163	Planning and Urban Design IV: Socio-Cultural and Institutional Aspects of Housing	Arch
309	Arch 166	Architectural Communication IX: Architectural Photography	Arch
310	Arch 168	Architectural Communication X: Model-making for Building Interiors	Arch
311	Arch 171	Architectural Structures: Form-Finding in Structures I	Arch
312	Arch 172	Architectural Structures: Form-Finding in Structures II	Arch
313	Arch 176	Utilities V: Health and Safety in Buildings	Arch
314	Arch 199.1	Architectural Design IX:  A Comprehensive Design Project (Pre-design to Schematic Development)	Arch
315	Arch 199.2	Architectural Design X: A Comprehensive Design Project (Design Development)	Arch
316	Arch 201	Introduction to Architectural  Research	Arch
317	Arch 202	Dynamics of Architectural Space	Arch
318	Arch 203	Architectural Mensuration	Arch
319	Arch 204	Evolution of Space in Architecture	Arch
320	Arch 205	Tropical Architecture	Arch
321	Arch 206	Management for Architectural Practice	Arch
322	Arch 207	Computer-Aided Design	Arch
323	Arch 208	Designing with Nature	Arch
324	Arch 209	Decision-Making for Architects	Arch
325	Arch 211	Fire Safety in Buildings	Arch
326	Arch 212	Energy Conservation in Buildings	Arch
327	Arch 213	Quantitative Methods for Architectural Analysis	Arch
328	Arch 221	Architectural Design I	Arch
329	Arch 222	Architectural Design II	Arch
330	Arch 223	Architectural Design III	Arch
331	Arch 231	Elements of Community Architecture	Arch
332	Arch 232	Community Architecture I	Arch
333	Arch 233	Community Architecture II	Arch
334	Arch 234	Community Architecture III	Arch
335	Arch 235	Service and Utility Systems	Arch
336	Arch 236	Movement Systems:  Needs and Facilities	Arch
337	Arch 251	Structural Concepts	Arch
338	Arch 252	Structural Systems in Architecture I	Arch
339	Arch 253	Structural Systems in Architecture II	Arch
340	Arch 254	Environmental Technology I	Arch
341	Arch 255	Environmental Technology II	Arch
342	Arch 256	Building Technology I	Arch
343	Arch 257	Building Technology II	Arch
344	Arch 258	Frame Analysis of Architectural Structures	Arch
345	Arch 259	Complex Architectural Structures	Arch
346	Arch 260	Fallout Shelters	Arch
347	Arch 261	Fundamentals of Housing	Arch
