	course_code	units
1002	FLCD 197	3.0
1003	FLCD 199	3.0
1004	FLCD 201	3.0
1005	FLCD 203	3.0
1006	FLCD 209	3.0
1007	FLCD 211	3.0
1008	FLCD 213	3.0
1009	FLCD 223	3.0
1010	FLCD 225	3.0
1011	FLCD 299	3.0
1012	FN 1	3.0
1013	FN 101	2.0
1014	FN 102	3.0
1015	FN 110	3.0
1016	FN 122	3.0
1017	FN 125	5.0
1018	FN 126	12.0
1019	FN 132	4.0
1020	FN 133	3.0
1021	FN 141	2.0
1022	FS 101	1.0
1023	FS 105	3.0
1024	FS 106	5.0
1025	FS 117	3.0
1026	FS 122	4.0
1027	FS 124	3.0
1028	FS 141	3.0
1029	FS 144	5.0
1030	FS 149	3.0
1031	FS 200	3.0
1032	FS 215	3.0
1033	FS 216	3.0
1034	FS 286	2.0
1035	FS 290	1.0
1036	FS 291	3.0
1037	FS 300	6.0
1038	FS 326	3.0
1039	Fil 3	3.0
1040	Fil 4	3.0
1041	Fil 10.1	3.0
1042	Fil 18	3.0
1043	Fil 20	3.0
1044	Fil 30	3.0
1045	Fil 40	3.0
1046	Fil 50	3.0
1047	Fil 103	3.0
1048	Fil 105	3.0
1049	Fil 115	3.0
1050	Fil 128	3.0
1051	Fil 155	3.0
1052	Fil 175	3.0
1053	Fil 180	3.0
1054	Fil 197	3.0
1055	Fil 198	3.0
1056	Fil 200	3.0
1057	Fil 201	3.0
1058	Fil 203	3.0
1059	Fil 225	3.0
1060	Fil 287	3.0
1061	Fil 298	3.0
1062	Fil 299	3.0
1063	Fil 300	6.0
1064	Fil 315	3.0
1065	Fil 325	3.0
1066	Fil 345	3.0
1067	Fil 397	3.0
1068	Fil 400	12.0
1069	Film 10	3.0
1070	Film 12	3.0
1071	Film 100	3.0
1072	Film 101	3.0
1073	Film 102	3.0
1074	Film 103	3.0
1075	Film 106	3.0
1076	Film 110	3.0
1077	Film 112	3.0
1078	Film 131	3.0
1079	Film 132	3.0
1080	Film 133	3.0
1081	Film 134	3.0
1082	Film 135	3.0
1083	Film 151	3.0
1084	Film 153	3.0
1085	Film 154	3.0
1086	Film 156	3.0
1087	Film 157	3.0
1088	Film 158	3.0
1089	Film 159	3.0
1090	Film 171	3.0
1091	Film 172	3.0
1092	Film 176	3.0
1093	Film 196	3.0
1094	Film 198	3.0
1095	Film 199	3.0
1096	Film 200	3.0
1097	Film 201	3.0
1098	Film 220	3.0
1099	Film 230	3.0
1100	Film 258	3.0
1101	Film 270	3.0
1102	Film 297	3.0
1103	Film 299	3.0
1104	French 10	3.0
1105	French 11	3.0
1106	French 12	3.0
1107	French 13	3.0
1108	French 14	3.0
1109	French 15	3.0
1110	French 60	3.0
1111	French 70	3.0
1112	French 100	3.0
1113	French 110	3.0
1114	French 111	3.0
1115	French 140	3.0
1116	D 17	3.0
1117	D 18	3.0
1118	D 19	3.0
1119	D 20	3.0
1120	D 22	3.0
1121	D 24	3.0
1122	D 26	3.0
1123	D 140	3.0
