course_code,course_title,offering_unit,units
Art Stud 186,Japanese Painting and Graphic Arts from their Beginnings to the 19th Century,DAS,3.0
Art Stud 190,Aesthetics and Art Theory,DAS,3.0
Art Stud 191,Aesthetics and Theories of Art,DAS,3.0
Art Stud 192,Art Criticism (Practicum),DAS,3.0
Art Stud 193,Gender Issues in the Arts,DAS,3.0
Art Stud 194,Perspectives in Art History,DAS,3.0
Art Stud 195,Curatorship,DAS,3.0
Art Stud 196,Art Historiography,DAS,3.0
Art Stud 197,Special Topics,DAS,3.0
Art Stud 198,Special Problems,DAS,3.0
Art Stud 199,Research,DAS,3.0
Art Stud 200,Thesis,DAS,3.0
Art Stud 201,Image of the Filipino in the Arts,DAS,3.0
Art Stud 202,Perspectives in Art Studies in the Philippines,"UPD, DAS",3.0
Art Stud 203,Frameworks and Methods in Art Studies,DAS,3.0
Art Stud 210,Convergences in Philippine Art (Early History to Spanish Period),DAS,3.0
Art Stud 212,Histories and Theorizations of Art,DAS,3.0
Art Stud 213,Aesthetics and Art Theories in Contemporary Cultures,DAS,3.0
Art Stud 240,Readings in Art History,DAS,3.0
Art Stud 245,Readings in Histories and Theorizations of Art,DAS,3.0
Art Stud 250,Art Historiography,DAS,3.0
Art Stud 252,Seminar on Issues in Art Studies,DAS,3.0
Art Stud 255,Art Criticism,DAS,3.0
Art Stud 270,Philippine Art and Society,DAS,3.0
Art Stud 271,Issues and Perspectives in the Arts of Philippine Living Traditions,DAS,3.0
Art Stud 272,Philippine Painting,DAS,3.0
Art Stud 273,Philippine Sculpture,DAS,3.0
Art Stud 274,Philippine Cinema,DAS,3.0
Art Stud 275,Philippine Music,DAS,3.0
Art Stud 276,Philippine Dance,DAS,3.0
Art Stud 277,Philippine Architecture,DAS,3.0
Art Stud 281,Issues and Perspectives in Curatorial Studies in the Philippines,DAS,3.0
Art Stud 282,Curatorial Mediations in Culture and Arts Governance.,DAS,3.0
Art Stud 283,Arts Market and Audience,DAS,3.0
Art Stud 284,Contexts and Platforms of Curatorial Practice,DAS,3.0
Art Stud 285,The Formation and Engagement of Publics in Curatorial Practice,DAS,3.0
Art Stud 286,Models and Platforms of Curatorial Practice,DAS,3.0
Art Stud 287,Archival Practices in Art Studies,DAS,3.0
Art Stud 298,Special Problems in Philippine Art,DAS,3.0
Art Stud 299,Research,DAS,3.0
Art Stud 300,Thesis,DAS,6.0
B 201,Critical Histories of Broadcast Media,GRADUATE,3.0
B 202,Critical History of Fiction texts in Philippine Broadcast and Related Media,GRADUATE,3.0
B 206,Comparative Laws and Policies in Broadcast Media,GRADUATE,3.0
B 210,The Producer and the Creative Process,GRADUATE,3.0
B 211,The Broadcast Writer,GRADUATE,3.0
B 212,Broadcast Documentary Production,GRADUATE,3.0
B 214,Broadcast Fiction Production,GRADUATE,3.0
B 216,Broadcast Non-Fiction Production,GRADUATE,3.0
B 232,Broadcast and Simulated Realities,GRADUATE,3.0
B 240,Broadcast Criticism,GRADUATE,3.0
B 242,Broadcast Audience Studies,GRADUATE,3.0
B 260,Ethnography and Field Work in Broadcast Research,GRADUATE,3.0
B 264,Transmedia Narratives in Broadcast Texts and Related Media,GRADUATE,3.0
B 265,Development Discourses in Broadcast and Related Media,GRADUATE,3.0
B 270,The Business and Management of the Broadcast Media,GRADUATE,3.0
B 272,Broadcast Media Programming,GRADUATE,3.0
B 297,Special Topics,GRADUATE,3.0
B Ind/Mal 10,Elementaring Bahasa Indonesia/Malaysia I (Elementary Bahasa Indonesia/Malaysia I),Lingg,3.0
B Ind/Mal 11,Elementaring Bahasa Indonesia/Malaysia II (Elementary Bahasa Indonesia/Malaysia II),Lingg,3.0
B Ind/Mal 12,Intermidyet na Bahasa Indonesia/Malaysia I (Intermediate Bahasa Indonesia/Malaysia I),Lingg,3.0
B Ind/Mal 13,Intermidyet na Bahasa Indonesia/Malaysia II (Intermediate Bahasa Indonesia/Malaysia II),Lingg,3.0
B Ind/Mal 100,Advans na Bahasa Indonesia/Malaysia I (Advanced Bahasa Indonesia/Malaysia I),Lingg,3.0
B Ind/Mal 101,Advans na Bahasa Indonesia/Malaysia II (Advanced Bahasa Indonesia/Malaysia II),Lingg,3.0
B Ind/Mal 110,Mga Babasahin sa Bahasa Indonesia/Malaysia (Readings in Bahasa Indonesia/Malaysia),Lingg,3.0
B Ind/Mal 111,Advans na Komposisyon sa Bahasa Indonesia/Malaysia (Advanced Composition in Bahasa Indonesia/Malaysia),Lingg,3.0
BA 99.1,Fundamental Accounting Theory and Practice I,"DAF, SE",3.0
BA 99.2,Fundamental Accounting Theory and Practice II,"DAF, DBA, SE",3.0
BA 101,Introduction to Business Management,"DBA, HRIM",3.0
BA 102,Philippine Business Environment,DBA,3.0
BA 103,Introduction to Research in Business,DBA,3.0
BA 105,Operations Management,DBA,3.0
BA 106,Fundamentals of Project Management,DBA,3.0
BA 108,Special Topics in Operations Management,DBA,3.0
BA 114.1,Accounting Theory and Practice I,DAF,4.5
BA 114.2,Accounting Theory and Practice II,DAF,4.5
BA 115,Management Accounting,DAF,3.0
BA 116,Cost Accounting,DAF,6.0
BA 117,Managerial Cost Accounting and Control,DAF,3.0
BA 118.1,Advanced Accounting I,DAF,6.0
BA 118.2,Advanced Accounting II,DAF,3.0
BA 118.3,Advanced Accounting III,DAF,6.0
BA 119,Special Topics in Accounting,DAF,3.0
BA 121,Accounting Systems,DAF,3.0
BA 122.1,Auditing Theory and Practice I ,DAF,3.0
BA 122.2,Auditing Theory and Practice II ,DAF,6.0
BA 123,Public Accounting Practice,DAF,6.0
BA 124,Fundamentals of Business Taxation,DAF,3.0
BA 126,Principles of Controllership,DAF,3.0
BA 127,Tax Accounting I,DAF,3.0
BA 128,Tax Accounting II,DAF,3.0
