course_code,course_title,offering_unit,units
BA 129,Management Services,DAF,3.0
BA 132,Financial Institutions,DAF,3.0
BA 133,Introduction to Risk Management and Insurance,DAF,3.0
BA 141,Business Finance I,DAF,3.0
BA 142,Business Finance II,"DBA, DAF",3.0
BA 145,Investments,DAF,3.0
BA 146,Special Topics in Finance,DAF,3.0
BA 147,Fundamentals of Derivative Securities,DAF,3.0
BA 148,Special Topics in Finance,"DBA, DAF, SE",3.0
BA 151,Human Behavior in Organizations,DBA,3.0
BA 152,Introduction to Human Resource Management,DBA,3.0
BA 158,Special Topics in Human Resource Management,DBA,3.0
BA 160,Business Law,"DAF, DBA",3.0
BA 161,Law on Business Transactions,"DAF, SE",3.0
BA 162,Law on Business Organizations,DAF,3.0
BA 164,Negotiable Instruments and Insurance,DAF,3.0
BA 166,"The Law on Sales, Agency, and Other Business Transactions",DAF,3.0
BA 168,Special Topics in Business Law,DAF,3.0
BA 170,Marketing Management,DBA,3.0
BA 170,Marketing,DBA,3.0
BA 172,Marketing Communications,DBA,3.0
BA 173,Consumer Behavior ,DBA,3.0
BA 173,Retail Store Management,DBA,3.0
BA 174,Marketing Research,DBA,3.0
BA 175,Global Marketing,DBA,3.0
BA 176,Distribution Management,DBA,3.0
BA 177,Product Management,DBA,3.0
BA 178,Special Topics in Marketing Management,DBA,3.0
BA 180.1,Information Technology in Business I,"DBA, SE",3.0
BA 181,Management Science I,DBA,3.0
BA 182,Management Science II,DBA,3.0
BA 186,Systems Analysis and Design,DBA,3.0
BA 190,Strategic Management,DBA,3.0
BA 192,Entrepreneurship,DBA,3.0
BA 193,Introduction to Corporate Governance and Business Ethics,DBA,3.0
BA 194,Fundamentals of International Business,DBA,3.0
BA 198,Special Topics in Business Administration,DBA,3.0
BA 199,Business Practice,DBA,6.0
BA 220,Management Accounting,"DBA, DAF, DBA-BGC, DAF-BGC",2.0
BA 220,Managerial Accounting and Control I,"DBA, DBA-BGC, DAF, DAF-BGC",2.0
BA 230,Marketing Management,"DBA, DBA-BGC",2.0
BA 233,Marketing Communication,"DBA, DBA-BGC",2.0
BA 235,Services Marketing and Management,"DBA, DBA-BGC",2.0
BA 236,Global Marketing Management,"DBA, DBA-BGC",2.0
BA 238,Entrepreneurship,"DBA-BGC, DBA",2.0
BA 240,Operations Management,"DBA-BGC, DBA",2.0
BA 256,Seminar in Human Resource Management,"DBA-BGC, DBA",2.0
BA 280.1,Fundamentals of Financial Management,"DBA, DAF, DAF-BGC",2.0
BA 281,Options and Other Derivatives,"DBA, DBA-BGC, DAF, DAF-BGC",2.0
BA 290,General Management,"DBA-BGC, DBA",2.0
BA 291.2,Strategic Management II,"DBA, DBA-BGC",2.0
BA 302,Microeconomic Analysis,"DBA-BGC, DBA",3.0
BA 303,Macroeconomic Analysis,"DBA, DBA-BGC",3.0
BA 311,Management Science I,"DBA-BGC, DBA",3.0
BA 312,Management Science II,"DBA-BGC, DBA",3.0
BA 313,Econometric Analysis,"DBA, DBA-BGC",3.0
BA 320,Financial Theory,"DBA-BGC, DBA",3.0
BA 323,Corporate Finance,"DAF-BGC, DAF",3.0
BA 325,Special Topics in Finance,"DBA-BGC, DBA",3.0
BA 330,Marketing Decision Models,"DBA, DBA-BGC",3.0
BA 335,Special Topics in Marketing,"DBA-BGC, DBA",3.0
BA 350,Organization Theory,"DBA-BGC, DBA",3.0
BA 391,Industrial Organization,"DBA, DBA-BGC",3.0
BA 392,Regulation and Public Policy,"DBA, DBA-BGC",3.0
BA 394,Empirical Methods in Business Policy,"DBA, DAF-BGC, DBA-BGC, DAF",3.0
BA 395,Special Topics in Business Policy,"DBA-BGC, DBA",3.0
BA 400,Dissertation Research,"DBA-BGC, DBA",6.0
BC 122,Writing Dramatic Materials for Television and Related Media,DBC,3.0
BC 125,Television Production Design,DBC,3.0
BC 146,Non-linear Post Production for Video,DBC,3.0
BC 148,Interactive Broadcasting,DBC,3.0
BC 174,Broadcast Marketing and Promotion,DBC,3.0
BC 181,Criticism of Broadcast Texts,DBC,3.0
BC 182,Broadcast Audience Studies,DBC,3.0
BC 196,Special Topics in Broadcasting,DBC,3.0
BC 197,Special Projects in Broadcasting,DBC,3.0
BC 198,Internship,DBC,3.0
BC 199,Research in Broadcasting,DBC,3.0
BC 200,Thesis,DBC,3.0
BIO 1,Contemporary Topics in Biology,IB,3.0
BIO 11,Fundamentals of Biology I,IB,3.0
BIO 11.1,Fundamentals of Biology I Laboratory,IB,2.0
BIO 12,Fundamentals of Biology II,IB,3.0
BIO 12.1,Fundamentals of Biology II Laboratory,IB,2.0
BIO 100,Statistical Methods in Biology,IB,3.0
BIO 101,Plant Morphoanatomy,IB,3.0
BIO 102,Comparative Vertebrate Anatomy,IB,3.0
BIO 102.1,Comparative Vertebrate Anatomy Laboratory,IB,2.0
BIO 111,Phycology,IB,4.0
BIO 112,Mycology,IB,4.0
BIO 113,Fundamentals of Virology,IB,3.0
BIO 114,"Mosses, Hepatics and Ferns",IB,0.0
BIO 115,Taxonomy of Angiosperms,IB,4.0
BIO 116,Invertebrate Biology,IB,4.0
BIO 116.1,Invertebrate Zoology Laboratory,IB,2.0
BIO 117,Vertebrate Biology,IB,4.0
BIO 118,Insect Biology,IB,4.0
BIO 119,Fish Biology,IB,4.0
BIO 120,General Microbiology,IB,4.0
BIO 121,Plant Physiology,IB,4.0
BIO 122,Animal Physiology,IB,3.0
BIO 122.1,Animal Physiology Laboratory,IB,2.0
BIO 123,Fundamentals of Microbial Physiology,"IB, IB",3.0
BIO 125,Medical Microbiology,"IB, IB",3.0
BIO 130,Plant Developmental Biology,IB,4.0
BIO 131,Plant Developmental Biology,IB,4.0
BIO 132,Animal Developmental Biology,IB,3.0
BIO 132.1,Animal Developmental Biology Laboratory,IB,2.0
BIO 133,Developmental Biology,"IB, IB",5.0
BIO 134,General Animal Histology,IB,3.0
BIO 140,Fundamentals of Genetics,IB,3.0
BIO 140.1,Fundamentals of Genetics Laboratory,IB,2.0
BIO 141,Fundamentals of Microbial Genetics,IB,3.0
BIO 141,Fundamentals of Microbial Genetics,IB,3.0
BIO 142,Fundamentals of Cytogenetics,IB,3.0
BIO 150,Fundamentals of Cell and Molecular Biology,IB,3.0
BIO 150.1,Fundamentals of Cell and Molecular Biology Laboratory,IB,2.0
BIO 151,Fundamentals of Immunobiology,IB,3.0
BIO 151,Fundamentals of Immunobiology,IB,3.0
BIO 160,Fundamentals of Ecology,IB,3.0
BIO 160.1,Fundamentals of Ecology Laboratory,IB,2.0
BIO 161,Field Biology,IB,5.0
BIO 162,Limnology,IB,4.0
BIO 163,Fundamentals of Microbial Ecology,"IB, IB",3.0
BIO 164,Biodiversity and Conservation Biology,IB,3.0
BIO 165,Biogeography,IB,3.0
BIO 166,Restoration Ecology,IB,4.0
BIO 170,Animal Behavior,IB,3.0
BIO 171,General  Parasitology,IB,3.0
BIO 172,Systematics and Ecology of Animal Parasites,IB,4.0
BIO 191,Systematics and Evolution  ,IB,3.0
BIO 193,Evolutionary Ecology,IB,3.0
BIO 196,Undergraduate Seminar,IB,1.0
BIO 200a,Undergraduate Thesis I,IB,2.0
BIO 200b,Undergraduate Thesis II,IB,2.0
BIO 200,Undergraduate Thesis,IB,1.0
BIO 210,Advanced Systematics,IB,3.0
BIO 210,Systematics,IB,3.0
BIO 220,Chemical Physiology,IB,3.0
BIO 221,Advanced Plant Physiology,"IB, IB",3.0
BIO 224,Stress Physiology,IB,3.0
BIO 230,Differentiation in Embryonic Systems,"IB, IB",3.0
BIO 232,Advances in Plant Developmental Biology,"IB, IB",3.0
BIO 233,Advances in Animal Developmental Biology,"IB, IB",3.0
BIO 240,Advanced Genetics,IB,3.0
BIO 241,Advanced Molecular Genetics,IB,3.0
BIO 242,Cytogenetics,IB,3.0
BIO 243,Population Genetics,IB,3.0
BIO 244,Advanced Evolutionary Genetics,"IB, IB",3.0
BIO 250,Advanced Cell and Molecular Biology,IB,3.0
BIO 251,Advanced Immunobiology,IB,3.0
BIO 260,Advanced Ecology,IB,3.0
BIO 262,Freshwater Ecology,IB,3.0
BIO 263,Terrestrial Ecology,IB,3.0
BIO 265,Advanced Biogeography,IB,3.0
BIO 271,Advanced Parasitology,IB,3.0
BIO 281,Experimental Design and Statistical Analysis,IB,3.0
BIO 296,Seminar,IB,1.0
BIO 299,Research in Biology,"IB, IB",2.0
BIO 300,M.S. Thesis,IB,6.0
BIO 322,Advanced Animal Physiology,"IB, IB",3.0
BIO 395,Advanced Studies in Biology,IB,4.0
BIO 397,Current Topics in Biology,"IB, IB",3.0
BIO 399,Independent Doctoral Research in Biology,"IB, IB",2.0
BIO 400,PhD Dissertation,IB,6.0
BJ 101,Introduction to Broadcast Journalism,OCS,3.0
BJ 110,Radio News Production,"DJourn, OCS",3.0
BJ 120,Television News Production,"OCS, DJourn",3.0
BJ 130,Issues in Broadcast News and Public Affairs Programs,DBC,3.0
BJ 170,Broadcast Newsroom Management,"DJourn, OCS",3.0
BMAS 100,Introduction to Broadcast Media Studies,DBC,3.0
BMAS 102,Aural Language in Broadcast Media,DBC,3.0
BMAS 103,Visual Language in Broadcast Media,DBC,3.0
BMAS 105,Ethics in Broadcast Media,DBC,3.0
BMAS 107,Writing for Broadcast Media ,DBC,3.0
BMAS 108,Presentation Skills in Broadcast Media ,DBC,3.0
BMAS 109,Political Economy of Broadcast Media,DBC,3.0
BMAS 110,Ideation in Broadcast Media,DBC,3.0
BMAS 111,Videography in Broadcast Media,DBC,3.0
BMAS 112,Production for Broadcast Media I,DBC,3.0
BMAS 113,Production for Broadcast Media II,DBC,3.0
BMAS 120,Historiography of Broadcast Media,DBC,3.0
BMAS 121,Digital and Emerging Media in Broadcast Contexts,DBC,3.0
BMAS 123,Criticism of Broadcast Media Texts,DBC,3.0
BMAS 125,Audience Studies in Broadcast Media,DBC,3.0
BMAS 126,Programming for Broadcast Media,DBC,3.0
BMAS 133,Writing Non-Dramatic Video Entertainment Materials for Broadcast Media,DBC,3.0
BMAS 134,Writing Video Drama for Broadcast Media,DBC,3.0
BMAS 135,Writing Video Comedy for Broadcast Media,DBC,3.0
BMAS 136,Performance for Broadcast Media,DBC,3.0
BMAS 140,Sound Design for Broadcast Media,DBC,3.0
BMAS 141,Music in Broadcast Media,DBC,3.0
BMAS 143,Editing for Broadcast Media,DBC,3.0
BMAS 144,Interactive Broadcasting,DBC,3.0
BMAS 146,Documentary for Broadcast Media,DBC,3.0
BMAS 147,Live Production for Broadcast Media,DBC,3.0
BMAS 149,Video Design Project for Broadcast Media,DBC,3.0
BMAS 160,Production Management for Broadcast Media,DBC,3.0
BMAS 162,Marketing and Promotion for Broadcast Media,DBC,3.0
BMAS 163,Advertising in Broadcast Media,DBC,3.0
BMAS 196,Special Topics in Broadcast Media,DBC,3.0
BMAS 197,Special Projects in Broadcast Media,DBC,3.0
BMAS 198,Internship,DBC,6.0
BMAS 199,Research in Broadcast Media,DBC,3.0
BMAS 199.1,Capstone Project,DBC,3.0
BMAS 200,Thesis,DBC,3.0
Bio 243,Population Genetics,IB,3.0
Bio 271,Advanced Parasitology,IB,3.0
Bio 281,Experimental Design and Statistical Analysis,IB,3.0
Bioethics 201,Foundations and Approaches to Bioethics,Philo,3.0
Bioethics 202,Ethical Theories in Bioethics,Philo,3.0
Bioethics 211,"Social Justice, Rights and Ethics",Philo,3.0
Bioethics 212,Law and Biothics,Philo,3.0
Bioethics 224,Bioethics and International Health,Philo,3.0
Bioethics 231,Moral Reasoning and Analytical Techniques in Bioethics,Philo,3.0
Bioethics 292,Research Ethics Review,Philo,3.0
Bioinfo 201,Foundations of Bioinformatics,DCS,3.0
Bioinfo 202,Statistics for Bioinformatics,DCS,3.0
Bioinfo 203,Bioinformatics Software Engineering,DCS,3.0
Bioinfo 204,Computational Methods for Analyzing Nucleic Acids and Proteins,DCS,3.0
Bioinfo 205,Fundamentals of Computational Biology,DCS,3.0
Bioinfo 221,Genomic and Transcriptomic Bioinformatics,DCS,3.0
Bioinfo 271,"Ethical, Legal and Social Issues in Bioinformatics",DCS,3.0
Bioinfo 296,Graduate Seminar,DCS,1.0
Bioinfo 297,Special Topics in Bioinformatics,DCS,3.0
Bioinfo 300,Master's Thesis,DCS,3.0
CD 11,Introduction to Community Development,CD,3.0
CD 100,Philippine Society and Community Development I,CD,3.0
CD 101,Philippine Society and Community Development II,CD,3.0
CD 110,Development Theories,CD,3.0
CD 111,"Policies, Programs and Services for Community Development",CD,3.0
CD 112,Gender and Development,CD,3.0
CD 121,Community Organizing,CD,3.0
CD 122,Organizing and Social Movements,CD,3.0
CD 123,Communication Strategies for Community Development,CD,3.0
CD 124,Educational Strategies for Community Development,CD,3.0
CD 125,Community Governance and Mobilization Strategies,CD,3.0
CD 126,Innovative Strategies in Community Organizing,CD,3.0
CD 131,Planning and Administration in Community Development,CD,3.0
CD 132,Participatory Project Development and Management,CD,3.0
CD 133,Community-based Resources Management,CD,3.0
CD 134,Community Development and Disaster Risk Management,CD,3.0
CD 135,People's Initiatives and Economic Enterprises,CD,3.0
CD 135,People's Initiative and Economic Enterprises,CD,3.0
CD 161,Special Problems,CD,3.0
CD 180,Practicum I,CD,9.0
CD 180,Practicum I,CD,9.0
CD 181,Practicum II,CD,9.0
CD 181,Practicum II,CD,9.0
CD 190,Statistics for Community Development,"CD, CD",3.0
CD 191,Introduction to Community Development Research,CD,3.0
CD 192,"Community Development Research Practicum, Dissemination and Utilization",CD,3.0
CD 201,Philippine Social Realities and Community Development,CD,3.0
CD 202,Development Theories in Community Development ,"CD, CD",3.0
CD 203,"National and International Policies, Legislation and Covenants in Community Development",CD,3.0
CD 221,Advanced Community Organizing,CD,3.0
CD 221,Advanced Community Organizing,CD,3.0
CD 222,Community Mobilization and Advocacy,CD,3.0
CD 224,Community Conflict Resolution and Peace Building Strategies for Community Development,CD,3.0
CD 225,Community Organizing and Social Movements,CD,3.0
CD 226,Re-building Displaced Communities,CD,3.0
CD 226,Re-building Displaced Communities,CD,3.0
CD 231,Community Development Planning,CD,3.0
CD 232,Development and Management of CD Programs and Projects,"CD, CD",3.0
CD 233,Participatory Monitoring and Evaluation in Community Development,"CD, CD",3.0
CD 234,Community-Based Resource Management,CD,3.0
CD 235,Community-Based Disaster Risk Reduction and Management (CBDRRM),"CD, DAF-BGC, DAF",3.0
CD 235,Community-Based Disaster Risk Management (CBDRM),"DAF-BGC, CD, DAF",3.0
CD 236,Community Enterprise and Cooperatives Development,CD,3.0
CD 241,Community Leadership and Organizational Development,"CD, DAF-BGC, DAF",3.0
CD 242,Participatory Education and Learning Strategies in Community Development,CD,3.0
CD 243,Managing Conflicts in Community-Based and Social Development Organizations,CD,3.0
CD 243,Participatory Management of Community-Based and Social Development Organizations,CD,3.0
CD 271,Seminar in Community Development Practice,CD,3.0
CD 280,Field Instruction,"WD, CD",3.0
CD 281,Field Instruction II,"WD, WD, CD, CD",3.0
CD 291,Community Development Research I,"CD, CD",3.0
CD 292,Community Development Research II,"CD, CD",3.0
CD 300,Thesis,CD,3.0
CE 1,Introduction to Civil Engineering,ICE,2.0
CE 11,Engineering Geology and Engineering Meteorology,ICE,3.0
CE 14,Solid Mechanics,ICE,3.0
CE 15,Fluid Mechanics for Civil Engineering I,ICE,0.0
CE 16,Fluid Mechanics for Civil Engineering II,ICE,0.0
CE 17,Fluid Mechanics,ICE,0.0
CE 18,Solid Mechanics,ICE,4.0
CE 21,Engineering Statistics,ICE,3.0
CE 22,Engineering Economics,ICE,3.0
CE 24,Mathematical Methods in Civil Engineering I,ICE,3.0
CE 25,Mathematical Methods in Civil Engineering II,ICE,0.0
CE 26,Analytical and Computational Methods in Civil Engineering I,ICE,0.0
CE 27,Analytical and Computational Methods in Civil Engineering II,ICE,0.0
CE 28,Analytical and Computational Methods in Civil Engineering III,ICE,0.0
CE 29,Probability and Statistics for Engineering,ICE,3.0
CE 31,Construction Materials,ICE,0.0
CE 41,Construction Plans,ICE,2.0
CE 49,City Planning,"DGE, ICE",1.0
CE 110,Hydrology,ICE,3.0
CE 110,Hydrology,ICE,3.0
CE 111,Hydraulic Engineering,ICE,3.0
CE 112,Water Resources Engineering,ICE,3.0
CE 115,Water Resources and Coastal Engineering I,ICE,4.0
CE 116,Water Resources and Coastal Engineering II,ICE,3.0
CE 117,Coastal Engineering,ICE,3.0
CE 118,Multipurpose Water Resources Development,ICE,3.0
CE 123,Construction Engineering and Management I ,ICE,3.0
CE 124,Construction Engineering and Management II,ICE,3.0
CE 125,Construction Engineering and Management III,ICE,3.0
CE 130,Elements of Environmental and Energy Engineering,ICE,3.0
CE 131,Elements of Environmental Engineering,ICE,3.0
CE 132,Sanitary Engineering I ,ICE,3.0
CE 135,Environmental Geotechnology,ICE,3.0
CE 141,Transportation Engineering I,ICE,3.0
CE 142,Transportation Engineering II ,ICE,3.0
CE 143,Transportation Engineering III,ICE,3.0
CE 151,Structural Engineering I,ICE,4.0
CE 152,Structural Engineering II,ICE,4.0
CE 153,Structural Engineering III,ICE,3.0
CE 155,Structural Analysis,ICE,3.0
CE 156,Design of Steel Members,ICE,3.0
CE 157,Design of Reinforced Concrete Members,ICE,3.0
CE 162,Geotechnical Engineering I ,ICE,0.0
CE 163,Geotechnical Engineering II,ICE,3.0
CE 164,Geotechnical Engineering III,ICE,3.0
CE 190,Seminar and Research Methods in Civil Engineering,ICE,1.0
CE 195,Internship,ICE,3.0
CE 196,Civil Engineering Design Project,ICE,3.0
CE 197,Special Topics,ICE,3.0
CE 198,Special Problems,ICE,3.0
CE 199,Undergraduate Research Project,ICE,3.0
CE 201,Matrix Theory of Structures,ICE,3.0
CE 211,Free Surface Flow,ICE,3.0
CE 212,Applied Hydrology,ICE,3.0
CE 213,Advanced Hydrology,ICE,3.0
CE 214,Groundwater Development,ICE,3.0
CE 215,Water Resources Planning,ICE,3.0
CE 216,Theory of Plasticity,ICE,3.0
CE 217,Hydraulic Design,ICE,3.0
CE 222,Advanced Concrete Technology,ICE,3.0
CE 225,Advanced Construction Engineering,ICE,3.0
CE 226,Structural Dynamics,ICE,3.0
CE 240,Transportation Systems Analysis and Planning,ICE,3.0
CE 242,Traffic Engineering and Management,ICE,3.0
CE 243,Highway Engineering,ICE,3.0
CE 245,Mass Transit Engineering,ICE,3.0
CE 246,Transportation and Traffic Surveys,ICE,3.0
CE 247,Transportation Economics and Evaluation,ICE,3.0
CE 248,Traffic Flow Theory and Analysis,ICE,3.0
CE 249,Planning and Design of Transportation Facilities,ICE,3.0
CE 250,Pre-Stressed Concrete,ICE,3.0
CE 252,Design of Metal Structures,ICE,3.0
CE 253,Design of Reinforced Concrete Structures,ICE,3.0
CE 255,Theory of Plates and Shells,ICE,3.0
CE 257,Discrete Methods of Structural Analysis,ICE,3.0
CE 259,Earthquake Engineering,ICE,3.0
CE 260,Soil and Rock Testing,ICE,3.0
CE 261,Soil and Rock Mechanics,ICE,3.0
CE 262,Foundation Engineering,ICE,3.0
CE 263,Soil and Rock Dynamics,ICE,3.0
CE 264,Geotechnical Engineering,ICE,3.0
CE 265,Soil and Rock Engineering Problems,ICE,3.0
CE 266,Earth Structures,ICE,3.0
CE 268,Critical State Soil Mechanics,ICE,3.0
CE 269,Ground Improvement Techniques,ICE,3.0
CE 270,Fundamental Coastal Hydrodynamics,ICE,3.0
CE 273,Coastal Sediment Transport,ICE,3.0
CE 297,Special Topics,ICE,3.0
CE 298,Special Problems,ICE,3.0
CE 300,Thesis,ICE,3.0
CE 301,Environmental Impact Assessment in Civil Engineering Projects,ICE,3.0
CE 304,Probabilistic Method in Civil Engineering,ICE,3.0
CE 306,Finite Element Methods in Civil Engineering I,ICE,3.0
CE 307,Finite Element Methods in Civil Engineering II,ICE,3.0
CE 311,River Mechanics and Sediment Modeling,ICE,3.0
CE 313,Stochastic Techniques in Water Resources,ICE,3.0
CE 315,Mathematical Modeling of Water Resources Systems,ICE,3.0
CE 316,Optimization and Simulation of Water Resources Systems,ICE,3.0
CE 318,Groundwater Flow and Contaminant Transport,ICE,3.0
CE 340,Advanced Transportation Systems Analysis and Planning,ICE,3.0
CE 341,Advanced Traffic Flow Theory and Analysis,ICE,3.0
CE 342,Advanced Traffic Engineering and Management,ICE,3.0
CE 352,Advanced Design of Metal Structures,ICE,3.0
CE 353,Advanced Design of Reinforced Concrete Structures ,ICE,3.0
CE 356,Advanced Structural Dynamics,ICE,3.0
CE 360,Geotechnical Testing and Instrumentation,ICE,3.0
CE 361,Advanced Soil Mechanics,ICE,3.0
CE 397,Special Topics In Civil Engineering,ICE,3.0
CE 398,Special Problems in Civil Engineering,ICE,3.0
CE 400,PhD Dissertation,ICE,6.0
CL 30,Survey of European Literature,DECL,3.0
CL 40,Survey of Asian Literature,DECL,3.0
CL 50,Survey of Philippine Literature in English,DECL,3.0
CL 100,Introduction to Comparative Literature,DECL,3.0
CL 104,Literature and the Other Arts I,DECL,3.0
CL 105,Literature and the Other Arts II,DECL,3.0
