,0
"('National Institute of Physics', 'UP School of Urban and Regional Planning')",1891.5
"('National Institute of Physics', 'UP Vanguard Building')",1937.3
"('National Institute of Physics', 'University of the Philippines-Diliman Department of Sociology')",837.4
"('National Institute of Physics', 'Bulwagang Silangang Palma')",759.7
"('National Institute of Physics', 'UP School of Statistics New Building')",1027.3
"('National Institute of Physics', 'Technology Management Center - University of the Philippines')",466.0
"('National Institute of Physics', 'UP Asian Institute Of Tourism')",2390.5
"('University of the Philippines College of Architecture', 'University of the Philippines College of Mass Communication')",1032.6
"('University of the Philippines College of Architecture', 'UP Institute of Biology')",860.7
"('University of the Philippines College of Architecture', 'University of the Philippines College of Social Work and Community Development')",1075.9
"('University of the Philippines College of Architecture', 'UP Diliman Institute of Civil Engineering (UP-ICE)')",424.2
"('University of the Philippines College of Architecture', 'Pavilion 1 - Palma Hall')",712.4
"('University of the Philippines College of Architecture', 'Crafts and Interior Design Laboratory')",867.2
"('University of the Philippines College of Architecture', 'UP College of Home Economics Annex Building')",1005.7
"('University of the Philippines College of Architecture', 'UP Diliman Electrical and Electronics Engineering Institute')",464.1
"('University of the Philippines College of Architecture', 'UP National College of Public Administration and Governance')",1037.9
"('University of the Philippines College of Architecture', 'UP College of Human Kinetics')",1118.2
"('University of the Philippines College of Architecture', 'University of the Philippines Diliman Institute of Chemistry - Teaching Building')",976.1
"('University of the Philippines College of Architecture', 'University of the Philippines College of Engineering')",1047.8
"('University of the Philippines College of Architecture', 'UP College of Music')",1242.4
"('University of the Philippines College of Architecture', 'UP School of Economics')",1396.1
"('University of the Philippines College of Architecture', 'UP College of Fine Arts')",560.1
"('University of the Philippines College of Architecture', 'Department of Chemical Engineering, University of the Philippines Diliman')",572.1
