course_code,course_title,offering_unit,units,timeslot,venue,instructor
BA 158,Special Topics in Human Resource Management,DBA,3.0,WF 8:30-10AM,BA 307,"OCAMPO, KATRINA TALA"
BA 162,Law on Business Organizations,DAF,3.0,TTh 5:30-7PM,BA 305,"MACARIOLA, PAOLO DOMINIC"
BA 170,Marketing Management,DBA,3.0,TTh 2:30-4PM,BA 306,"ILANO, ARTURO BENEDICTO"
BA 170,Marketing,DBA,3.0,TTh 2:30-4PM,BA 306,"ILANO, ARTURO BENEDICTO"
BA 172,Marketing Communications,DBA,3.0,Th 4-7PM,BA 104,"NAZARENO, RYAN JERARD"
BA 173,Consumer Behavior ,DBA,3.0,S 9AM-12PM,BA 301,"ACEDERA, MA. EDITHA"
BA 173,Retail Store Management,DBA,3.0,S 9AM-12PM,BA 301,"ACEDERA, MA. EDITHA"
BA 174,Marketing Research,DBA,3.0,M 2:30-5:30PM,BA 106,"TAYAO, AGNES"
BA 176,Distribution Management,DBA,3.0,TTh 2:30-4PM,BA 305,"PEREYRAS, NANCY"
BA 177,Product Management,DBA,3.0,S 9AM-12PM,BA 309,"ACEDERA, RAYMOND WILLIAM"
BA 178,Special Topics in Marketing Management,DBA,3.0,S 9AM-12PM,BA 106,"RODRIGUEZ, CHONA"
BA 180.1,Information Technology in Business I,"DBA, SE",3.0,TTh 10-11:30AM,BA 304,"DE LOS SANTOS, CARLO JAE"
BA 181,Management Science I,DBA,3.0,TTh 10-11:30AM,BA 210,"PAREDES, LORNA"
BA 182,Management Science II,DBA,3.0,TTh 1-2:30PM,BA 110,"SUAN, IVY"
BA 186,Systems Analysis and Design,DBA,3.0,WF 8:30-10AM,BA 210,"AGUDO, MA. VICTORIA"
BA 190,Strategic Management,DBA,3.0,TTh 10-11:30AM,BA 306,"ILANO, ARTURO BENEDICTO"
BA 192,Entrepreneurship,DBA,3.0,T 4-7PM,BA 104,"TOMELDAN, MA. ROWENA VICTORIA"
BA 193,Introduction to Corporate Governance and Business Ethics,DBA,3.0,S 1-4PM,BA 305,"BANARES, MARIA RODORA"
BA 194,Fundamentals of International Business,DBA,3.0,S 9AM-12PM,BA 307,CONCEALED
BA 198,Special Topics in Business Administration,DBA,3.0,TTh 8:30-10AM,BA 304,"DE LOS SANTOS, CARLO JAE"
BA 303,Macroeconomic Analysis,"DBA, DBA-BGC",3.0,Th 10AM-1PM,BA 214,"BAUTISTA, CARLOS"
BA 313,Econometric Analysis,"DBA, DBA-BGC",3.0,F 10AM-1PM,BA 214,"BAUTISTA, CARLOS"
BA 323,Corporate Finance,"DAF-BGC, DAF",3.0,M 1-4PM,BA 214,"SALAZAR, DANI ROSE CRESENCIA; YU, JOEL"
BA 330,Marketing Decision Models,"DBA, DBA-BGC",3.0,Th 1:30-4:30PM,BA 214,"GUTIERREZ, BEN PAUL"
BA 335,Special Topics in Marketing,"DBA-BGC, DBA",3.0,T 9AM-12PM,BA 214,"CENTENO, DAVE"
BA 391,Industrial Organization,"DBA, DBA-BGC",3.0,W 9AM-12PM,BA 214,"YU, JOEL"
